mscn_sol,JPL
region_name,Greenland Ice Sheet
region_tag,100
region_area,2189202.949
mascon_ids,17,18,33,34,35,36,56,57,58,59,86,87,88,89,90,123,124,125,126,164,165,166,167,168,211,212,213,214,265,266,324
Solution,JPL RL06M v02 Mascons
Acknowledgement,"GRACE land are available at http://grace.jpl.nasa.gov, supported by the NASA MEaSUREs Program."
Citation 1,"D.N. Wiese. 2015. GRACE monthly global water mass grids NETCDF RELEASE 5.0. Ver. 5.0. PO.DAAC, CA, USA. Dataset accessed 2017-07-01 at http://dx.doi.org/10.5067/TEMSC-OCL05."
Citation 2,"Watkins, M. M., D. N. Wiese, D.-N. Yuan, C. Boening, and F. W. Landerer (2015), Improved methods for observing Earth’s time variable mass distribution with GRACE using spherical cap mascons, J. Geophys. Res. Solid Earth, 120, doi:10.1002/2014JB011547."
Citation 3,"Wiese, D. N., F. W. Landerer, and M. M. Watkins (2016), Quantifying and reducing leakage errors in the JPL RL05M GRACE mascon solution, Water Resour. Res., 52, 7490–7502, doi:10.1002/2016WR019344."
Data Portal,https://ccar.colorado.edu/grace/

days since 1/1/2002,Gt
106.5,1063.125
129.5,1131.939
227.5,845.281
258,823.477
288.5,854.804
319,853.828
349.5,869.882
380.5,915.888
410,907.166
439.5,972.008
470,1017.889
495.5,1025.602
561.5,849.435
592.5,712.588
623,671.171
653,673.838
684,671.003
714.5,711.298
736.5,687.156
777,679.909
805.5,701.265
836,762.692
866.5,746.874
897,727.246
927.5,630.162
958.5,506.253
989,465.174
1019.5,446.098
1050,488.202
1080.5,512.57
1111.5,498.584
1141,520.306
1170.5,566.18
1201,573.796
1231.5,611.033
1262,563.124
1292.5,434.157
1323.5,244.541
1354,178.555
1384.5,188.169
1415,189.418
1445.5,239.953
1476.5,216.749
1506,264.381
1535.5,286.819
1566,260.671
1596.5,271.612
1627,260.017
1657.5,173.68
1688.5,46.478
1719,-13.53
1749.5,-0.109
1780,-27.956
1810.5,-36.652
1841.5,-4.561
1871,36.694
1900.5,28.827
1931,41.551
1961.5,54.156
1992,34.381
2022.5,-95.57
2053.5,-291.902
2084,-355.941
2114.5,-381.311
2145,-358.996
2175.5,-299.053
2206.5,-259.905
2236.5,-279.01
2266.5,-222.677
2297,-241.659
2327.5,-256.82
2358,-259.841
2388.5,-408.273
2419.5,-568.838
2450,-633.053
2480.5,-620.914
2511,-547.656
2541.5,-474.697
2572.5,-455.761
2602,-502.603
2631.5,-502.684
2662,-481.47
2692.5,-464.461
2723,-471.674
2753.5,-582.205
2784.5,-792.04
2815,-845.495
2845.5,-819.193
2876,-802.286
2906.5,-778.673
2937.5,-780.709
2967,-761.638
2996.5,-749.989
3027,-773.702
3057.5,-740.251
3088,-847.204
3118.5,-1023.25
3149.5,-1217.656
3180,-1315.803
3210.5,-1279.818
3241,-1297.064
3269.5,-1279.438
3335.5,-1258.242
3361.5,-1240.983
3392,-1236.876
3422.5,-1256.447
3485.5,-1448.349
3514.5,-1641.772
3545,-1697.475
3575.5,-1722.539
3591.5,-1721.533
3652,-1661.363
3667.5,-1671.126
3697.5,-1652.308
3727.5,-1606.066
3746.5,-1596.567
3819,-1624.794
3849.5,-1855.854
3880.5,-2166.033
3908,-2268.852
3974.5,-2200.31
4002.5,-2185.653
4033.5,-2183.665
4062,-2175.09
4128,-2173.646
4153.5,-2136.941
4184,-2118.65
4214.5,-2230.646
4306.5,-2293.286
4337,-2293.979
4367.5,-2281.305
4391.5,-2267.316
4457.5,-2214.397
4488,-2203.027
4518.5,-2202.323
4546,-2242.111
4610.5,-2524.392
4641,-2563.05
4671.5,-2546.698
4703,-2542.537
4769.5,-2456.86
4793,-2462.235
4822.5,-2417.113
4853,-2409.126
4864,-2404.794
4943.5,-2591.935
4975.5,-2726.978
5004.5,-2764.513
5104.5,-2704.919
5128.5,-2651.642
5157,-2672.899
5188.5,-2671.99
5253,-2640.61
5280,-2637.719
5309.5,-2810.873
5346.5,-3060.996
5444.5,-2936.156
5471.5,-3003.214
5499,-2949.239
5568.5,-2943.445
5592.5,-2909.343
5610.5,-2902.108
5640,-2933.324
6010,-2980.534
6034,-3005.061
6147.5,-3144.561
6163,-3110.496
6193.5,-3121.685
6224.5,-3126.298
6253,-3152.088
6283.5,-3172.872
6314,-3157.446
6344.5,-3139.068
6375,-3194.747
6405.5,-3396.964
6436.5,-3626.316
6467,-3718.701
6497.5,-3703.091
6528,-3660.787
6558.5,-3665.193
6589.5,-3702.784
6619.5,-3657.056
6649.5,-3691.89
6680,-3682.164
6710.5,-3655.018
6741,-3692.42
6771.5,-3845.618
6802.5,-3927.35
6833,-3932.498
6863.5,-3865.667
6894,-3859.561
6924.5,-3836.906
6955.5,-3776.311
6985,-3838.24
7014.5,-3832.155
