mscn_sol,JPL
region_name,Antarctic Ice Sheet
region_tag,300
region_area,12425189.716
mascon_ids,4324,4325,4340,4341,4344,4345,4346,4347,4348,4349,4350,4351,4352,4353,4372,4373,4374,4382,4383,4385,4386,4387,4388,4389,4390,4391,4392,4393,4394,4395,4396,4397,4398,4399,4400,4415,4416,4417,4424,4425,4426,4427,4428,4429,4430,4431,4432,4433,4434,4435,4436,4437,4438,4439,4440,4441,4448,4450,4451,4452,4453,4454,4459,4460,4461,4462,4463,4464,4465,4466,4467,4468,4469,4470,4471,4472,4473,4474,4475,4479,4480,4481,4482,4483,4484,4485,4486,4489,4490,4491,4492,4493,4494,4495,4496,4497,4498,4499,4500,4501,4502,4505,4506,4507,4508,4509,4510,4511,4512,4513,4514,4515,4516,4517,4518,4519,4520,4521,4522,4523,4524,4525,4526,4527,4528,4529,4530,4531,4532,4533,4534,4535,4536,4537,4538,4539,4540,4541,4542,4543,4544,4545,4546,4547,4548,4549,4550,4551
Solution,JPL RL06M v02 Mascons
Acknowledgement,"GRACE land are available at http://grace.jpl.nasa.gov, supported by the NASA MEaSUREs Program."
Citation 1,"D.N. Wiese. 2015. GRACE monthly global water mass grids NETCDF RELEASE 5.0. Ver. 5.0. PO.DAAC, CA, USA. Dataset accessed 2017-07-01 at http://dx.doi.org/10.5067/TEMSC-OCL05."
Citation 2,"Watkins, M. M., D. N. Wiese, D.-N. Yuan, C. Boening, and F. W. Landerer (2015), Improved methods for observing Earth’s time variable mass distribution with GRACE using spherical cap mascons, J. Geophys. Res. Solid Earth, 120, doi:10.1002/2014JB011547."
Citation 3,"Wiese, D. N., F. W. Landerer, and M. M. Watkins (2016), Quantifying and reducing leakage errors in the JPL RL05M GRACE mascon solution, Water Resour. Res., 52, 7490–7502, doi:10.1002/2016WR019344."
Data Portal,https://ccar.colorado.edu/grace/

days since 1/1/2002,Gt
106.5,348.221
129.5,367.243
227.5,288.793
258,394.495
288.5,411.124
319,280.223
349.5,299.217
380.5,299.933
410,148.602
439.5,177.464
470,305.344
495.5,349.274
561.5,219.864
592.5,226.005
623,217.488
653,299.473
684,240.874
714.5,75.277
736.5,18.324
777,-143.42
805.5,7.561
836,-38.266
866.5,191.946
897,160.205
927.5,34.529
958.5,181.899
989,187.081
1019.5,262.247
1050,121.884
1080.5,42.586
1111.5,-46.068
1141,-107.106
1170.5,-57.384
1201,96.641
1231.5,119.082
1262,144.194
1292.5,189.123
1323.5,138.988
1354,235.352
1384.5,242.256
1415,289.165
1445.5,189.161
1476.5,123.126
1506,30.108
1535.5,165.008
1566,189.283
1596.5,266.968
1627,299.069
1657.5,249.303
1688.5,338.86
1719,327.562
1749.5,251.844
1780,258.622
1810.5,113.428
1841.5,-91.066
1871,-81.702
1900.5,-13.288
1931,11.591
1961.5,168.111
1992,156.309
2022.5,79.503
2053.5,117.858
2084,191.06
2114.5,101.306
2145,-90.816
2175.5,-173.517
2206.5,-382.079
2236.5,-259.743
2266.5,-393.071
2297,-214.395
2327.5,-125.814
2358,-210.038
2388.5,-303.517
2419.5,-255.421
2450,-94.626
2480.5,-185.996
2511,-172.5
2541.5,-276.519
2572.5,-359.059
2602,-333.255
2631.5,-269.024
2662,-232.012
2692.5,-205.888
2723,-192.341
2753.5,-88.059
2784.5,-119.008
2815,-132.307
2845.5,-187.325
2876,-173.61
2906.5,-282.941
2937.5,-454.058
2967,-459.253
2996.5,-340.029
3027,-410.928
3057.5,-432.472
3088,-445.154
3118.5,-649.227
3149.5,-578.087
3180,-499.382
3210.5,-531.628
3241,-551.706
3269.5,-564.519
3335.5,-653.682
3361.5,-670.174
3392,-682.894
3422.5,-617.529
3485.5,-562.317
3514.5,-578.616
3545,-490.824
3575.5,-536.36
3591.5,-532.353
3652,-800.031
3667.5,-730.184
3697.5,-793.224
3727.5,-770.579
3746.5,-708.895
3819,-746.364
3849.5,-713.479
3880.5,-634.553
3908,-598.91
3974.5,-721.32
4002.5,-769.719
4033.5,-939.904
4062,-1047.271
4128,-787.367
4153.5,-890.699
4184,-899.035
4214.5,-860.75
4306.5,-952.003
4337,-999.491
4367.5,-1050.324
4391.5,-1156.682
4457.5,-1268.221
4488,-1187.763
4518.5,-1093.992
4546,-1137.419
4610.5,-1185.994
4641,-1013.262
4671.5,-1103
4703,-1178.091
4769.5,-1479.737
4793,-1555.732
4822.5,-1525.704
4853,-1504.024
4864,-1430.593
4943.5,-1395.351
4975.5,-1549.635
5004.5,-1501.325
5104.5,-1546.217
5128.5,-1569.299
5157,-1645.688
5188.5,-1580.686
5253,-1442.847
5280,-1426.905
5309.5,-1306.99
5346.5,-1252.943
5444.5,-1323.765
5471.5,-1237.162
5499,-1256.356
5568.5,-1580.891
5592.5,-1501.109
5610.5,-1465.821
5640,-1465.083
6010,-1635.005
6034,-1649.882
6147.5,-1909
6163,-1873.814
6193.5,-1926.764
6224.5,-2017.459
6253,-2060.751
6283.5,-1964.662
6314,-1784.279
6344.5,-1836.971
6375,-1928.983
6405.5,-1833.374
6436.5,-1878.863
6467,-1754.36
6497.5,-1937.424
6528,-1998.46
6558.5,-2044.689
6589.5,-2353.865
6619.5,-2459.514
6649.5,-2279.74
6680,-2187.372
6710.5,-2108.967
6741,-2076.898
6771.5,-2009.518
6802.5,-1902.512
6833,-2089.83
6863.5,-2190.012
6894,-2240.149
6924.5,-2398.258
6955.5,-2717.565
6985,-2404.117
7014.5,-2359.042
